17:08:17:061 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:08:29:382 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:08:29:410 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:08:29:692 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:08:29:693 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:08:34:467 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:08:34:489 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:14:46:390 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:14:58:756 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:14:58:780 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:14:59:094 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:14:59:095 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:15:09:648 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:15:09:676 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:15:10:241 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:15:10:279 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:15:11:347 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:15:11:348 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - Adding different product into the cart
17:15:14:650 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:15:25:286 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:15:25:287 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:15:25:515 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:15:25:516 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:15:35:935 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:15:35:935 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:15:36:468 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:15:42:568 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - Successfully added and verified the cart value.
17:22:52:346 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:23:04:577 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:23:04:580 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:23:04:888 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:23:04:889 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:23:10:547 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:23:10:549 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:23:11:146 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:23:11:155 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:23:12:186 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:23:19:665 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:23:26:170 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:23:26:174 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:23:26:527 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
17:23:26:529 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has switched the window for the Product details page
17:23:37:029 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully switched the window
17:23:37:031 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has extracting the product name from the page
17:23:37:568 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully clicked on Add to cart button
17:23:37:569 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has landed into the Cart Page
17:23:38:633 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully verify the product in the cart which matches with the product which we have selected
17:41:14:721 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - user searches for the item in the search bar
17:41:26:646 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully searched the product and retrieved the results
17:41:26:649 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User has to select the product from the item results
17:41:27:019 [main] INFO  com.Bk.StepDefinition.SearchAndCartStepDefinitions - User successfully selected the particular product
